epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.8583,1.50451,2.20255,1.58303,0.39355,0.66523,0.57725,0.34134,1.22119,1.69765,1.36047,0.00031438,0.00031438,0.00031438
2,11.353,1.27797,1.2196,1.39816,0.69354,0.84453,0.84475,0.55152,1.13955,1.37027,1.25836,0.000639867,0.000639867,0.000639867
3,16.5385,1.19297,1.00907,1.29699,0.77477,0.86925,0.85829,0.54329,1.13386,1.73292,1.25606,0.0009621,0.0009621,0.0009621
4,21.5268,1.23194,1.0176,1.2659,0.79113,0.8408,0.85442,0.55501,1.18936,1.25306,1.3168,0.00128108,0.00128108,0.00128108
5,26.5585,1.18467,1.03327,1.28213,0.74267,0.6711,0.82442,0.53429,1.15136,1.09875,1.28412,0.00140071,0.00140071,0.00140071
6,31.5403,1.16627,0.96427,1.28469,0.85685,0.80106,0.85697,0.54258,1.19065,0.96234,1.31205,0.00139363,0.00139363,0.00139363
7,36.5571,1.16308,0.93112,1.27163,0.82822,0.88525,0.89152,0.57755,1.10845,0.8159,1.22806,0.00138656,0.00138656,0.00138656
8,41.6609,1.09732,0.8763,1.22529,0.83104,0.81783,0.87517,0.56806,1.15079,0.89252,1.28954,0.00137949,0.00137949,0.00137949
9,46.6465,1.13216,0.89116,1.26196,0.84394,0.78675,0.87026,0.5618,1.11154,0.82219,1.24387,0.00137241,0.00137241,0.00137241
10,51.6855,1.10616,0.86015,1.21794,0.81631,0.80646,0.87802,0.5694,1.08994,0.79547,1.21107,0.00136534,0.00136534,0.00136534
11,56.766,1.11791,0.8436,1.22756,0.86078,0.86999,0.90277,0.59785,1.10252,0.79701,1.21792,0.00135826,0.00135826,0.00135826
12,62.1469,1.09784,0.82388,1.21881,0.84137,0.86824,0.89796,0.5958,1.10344,0.79053,1.22301,0.00135119,0.00135119,0.00135119
13,67.138,1.09604,0.82324,1.21692,0.84992,0.87718,0.90596,0.59814,1.13929,0.76314,1.2504,0.00134412,0.00134412,0.00134412
14,72.158,1.10012,0.83514,1.22011,0.804,0.89531,0.89568,0.59665,1.09354,0.75352,1.22182,0.00133704,0.00133704,0.00133704
15,77.1529,1.0968,0.82567,1.22496,0.81168,0.88744,0.90474,0.60489,1.11419,0.78379,1.2283,0.00132997,0.00132997,0.00132997
16,82.2489,1.07647,0.82288,1.19602,0.81391,0.9048,0.89699,0.6066,1.10566,0.75027,1.22899,0.0013229,0.0013229,0.0013229
17,87.5785,1.08786,0.81594,1.22495,0.81794,0.84884,0.88197,0.61008,1.08401,0.79946,1.20663,0.00131582,0.00131582,0.00131582
18,92.6568,1.07031,0.77592,1.19425,0.81042,0.87992,0.85507,0.57833,1.08191,0.80459,1.20227,0.00130875,0.00130875,0.00130875
19,97.6586,1.09023,0.79734,1.20874,0.83632,0.87707,0.88844,0.59958,1.10248,0.73545,1.2228,0.00130168,0.00130168,0.00130168
20,102.729,1.06038,0.7578,1.17656,0.81135,0.90544,0.90026,0.60047,1.08493,0.74464,1.20431,0.0012946,0.0012946,0.0012946
21,107.769,1.06692,0.7704,1.17973,0.82785,0.90556,0.89638,0.62016,1.07092,0.69588,1.19457,0.00128753,0.00128753,0.00128753
22,112.853,1.06739,0.78514,1.18929,0.83743,0.89447,0.90463,0.62567,1.09384,0.71976,1.21318,0.00128046,0.00128046,0.00128046
23,117.79,1.07148,0.76521,1.18276,0.86351,0.85803,0.88996,0.59729,1.10653,0.73744,1.23565,0.00127338,0.00127338,0.00127338
24,122.596,1.05759,0.73725,1.189,0.83408,0.87884,0.90576,0.63031,1.08941,0.73408,1.20863,0.00126631,0.00126631,0.00126631
25,127.521,1.0432,0.75315,1.17185,0.8189,0.91812,0.91772,0.62615,1.1027,0.7424,1.21856,0.00125923,0.00125923,0.00125923
26,132.507,1.02287,0.73821,1.16587,0.8551,0.8987,0.9184,0.61102,1.13432,0.72207,1.25164,0.00125216,0.00125216,0.00125216
27,137.56,1.04757,0.72994,1.17783,0.87033,0.87192,0.91301,0.61198,1.14852,0.70796,1.26138,0.00124509,0.00124509,0.00124509
28,142.561,1.0465,0.73755,1.18491,0.83118,0.88269,0.90256,0.61051,1.0864,0.7278,1.20597,0.00123801,0.00123801,0.00123801
29,147.562,1.04274,0.72208,1.1725,0.82533,0.85879,0.89369,0.60494,1.07838,0.70425,1.20638,0.00123094,0.00123094,0.00123094
30,152.567,1.03651,0.72521,1.15821,0.86127,0.86802,0.91269,0.62687,1.09787,0.6946,1.22019,0.00122387,0.00122387,0.00122387
31,157.592,1.03873,0.72634,1.16841,0.83874,0.85853,0.88107,0.59836,1.10663,0.73443,1.24186,0.00121679,0.00121679,0.00121679
32,162.614,1.05267,0.724,1.18027,0.8725,0.84204,0.90193,0.61886,1.05302,0.70182,1.18736,0.00120972,0.00120972,0.00120972
33,167.651,1.043,0.71968,1.16442,0.81584,0.88325,0.89338,0.59421,1.12408,0.77401,1.23359,0.00120265,0.00120265,0.00120265
34,172.792,1.02262,0.70147,1.15045,0.84972,0.88916,0.91029,0.62692,1.06881,0.6939,1.20199,0.00119557,0.00119557,0.00119557
35,177.867,1.03859,0.71038,1.17609,0.84957,0.89521,0.91534,0.62842,1.08333,0.65335,1.2027,0.0011885,0.0011885,0.0011885
36,182.904,1.01317,0.69083,1.14325,0.85794,0.88163,0.91748,0.6307,1.06321,0.65635,1.19242,0.00118143,0.00118143,0.00118143
37,188.015,1.00646,0.69315,1.14386,0.84934,0.88409,0.90783,0.63067,1.05953,0.66767,1.18966,0.00117435,0.00117435,0.00117435
38,193.057,1.02829,0.70221,1.15813,0.84233,0.86003,0.89582,0.61812,1.05465,0.69938,1.1834,0.00116728,0.00116728,0.00116728
39,198.083,0.99649,0.68031,1.14604,0.85825,0.90118,0.92073,0.64121,1.0723,0.65694,1.19801,0.00116021,0.00116021,0.00116021
40,203.18,1.0101,0.69293,1.14525,0.82008,0.86923,0.91195,0.62841,1.06264,0.79295,1.19346,0.00115313,0.00115313,0.00115313
41,208.216,1.02116,0.6939,1.14562,0.85157,0.8707,0.91131,0.62199,1.06082,0.708,1.18529,0.00114606,0.00114606,0.00114606
42,213.217,1.00447,0.69135,1.15178,0.87598,0.84411,0.91188,0.63698,1.06451,0.67942,1.18767,0.00113898,0.00113898,0.00113898
43,218.236,1.00849,0.69087,1.1566,0.88514,0.85395,0.9122,0.62311,1.10517,0.6845,1.21044,0.00113191,0.00113191,0.00113191
44,223.258,0.98091,0.67257,1.14661,0.86753,0.8672,0.91012,0.63803,1.05639,0.69446,1.1866,0.00112484,0.00112484,0.00112484
45,228.296,1.00569,0.67751,1.14365,0.83033,0.89791,0.91426,0.63267,1.05365,0.69261,1.18119,0.00111776,0.00111776,0.00111776
46,233.319,1.00162,0.68068,1.13091,0.85378,0.871,0.90537,0.60632,1.13902,0.74477,1.24266,0.00111069,0.00111069,0.00111069
47,238.35,1.00826,0.67444,1.1544,0.85401,0.90141,0.91914,0.63698,1.05149,0.66394,1.19052,0.00110362,0.00110362,0.00110362
48,243.398,0.98525,0.66538,1.14569,0.85044,0.85525,0.90703,0.62501,1.07771,0.68674,1.20627,0.00109654,0.00109654,0.00109654
49,248.447,0.97634,0.66059,1.12284,0.84594,0.88891,0.91167,0.63392,1.06771,0.67462,1.20022,0.00108947,0.00108947,0.00108947
50,253.462,0.99776,0.67786,1.1383,0.82182,0.87951,0.9036,0.62633,1.07708,0.69948,1.19971,0.0010824,0.0010824,0.0010824
51,258.461,0.98107,0.65407,1.11694,0.8715,0.85948,0.92165,0.64291,1.06035,0.65944,1.1929,0.00107532,0.00107532,0.00107532
52,263.555,0.98612,0.65742,1.13385,0.84875,0.90265,0.91331,0.63126,1.07895,0.67422,1.19588,0.00106825,0.00106825,0.00106825
53,268.576,0.98846,0.64267,1.13492,0.83208,0.89292,0.90624,0.60982,1.1207,0.67003,1.22913,0.00106118,0.00106118,0.00106118
54,273.622,0.9677,0.65794,1.11778,0.8623,0.87155,0.91256,0.62222,1.07622,0.69008,1.20878,0.0010541,0.0010541,0.0010541
55,278.663,0.96675,0.65102,1.12241,0.88885,0.86767,0.91903,0.63576,1.0772,0.66153,1.20337,0.00104703,0.00104703,0.00104703
56,283.665,0.96962,0.62348,1.12926,0.84455,0.86732,0.91061,0.62617,1.05247,0.69709,1.18698,0.00103995,0.00103995,0.00103995
57,288.675,0.95868,0.63821,1.11813,0.835,0.87656,0.89835,0.61671,1.05835,0.69318,1.19005,0.00103288,0.00103288,0.00103288
58,293.716,0.99826,0.6537,1.13934,0.85774,0.84518,0.89331,0.60523,1.07203,0.70035,1.20024,0.00102581,0.00102581,0.00102581
59,298.762,0.95718,0.64516,1.116,0.82535,0.87489,0.90283,0.6209,1.09107,0.69996,1.22554,0.00101873,0.00101873,0.00101873
60,303.777,0.95816,0.63933,1.11338,0.862,0.86875,0.91429,0.62715,1.07099,0.66605,1.20076,0.00101166,0.00101166,0.00101166
61,308.689,0.94032,0.62091,1.11249,0.8537,0.87831,0.91791,0.62582,1.10036,0.67326,1.23206,0.00100459,0.00100459,0.00100459
62,313.501,0.9517,0.63273,1.11599,0.8693,0.87047,0.91284,0.63152,1.07181,0.66129,1.20623,0.000997513,0.000997513,0.000997513
63,318.445,0.95143,0.62232,1.1192,0.89206,0.8671,0.92034,0.63027,1.09858,0.65235,1.20825,0.00099044,0.00099044,0.00099044
64,323.482,0.95878,0.6266,1.13253,0.89022,0.87845,0.92313,0.63717,1.07997,0.65062,1.20159,0.000983366,0.000983366,0.000983366
65,328.509,0.94704,0.62568,1.11796,0.90512,0.85895,0.92248,0.63875,1.06714,0.65677,1.18283,0.000976293,0.000976293,0.000976293
66,333.548,0.92851,0.59669,1.09295,0.8666,0.87984,0.92126,0.62458,1.10535,0.66186,1.22021,0.000969219,0.000969219,0.000969219
67,338.598,0.93494,0.59872,1.09185,0.84026,0.8889,0.91357,0.63519,1.08005,0.67978,1.20401,0.000962146,0.000962146,0.000962146
68,343.638,0.93571,0.61594,1.08954,0.86478,0.88752,0.91914,0.63479,1.05958,0.66991,1.20157,0.000955072,0.000955072,0.000955072
69,348.693,0.93954,0.61084,1.10626,0.86221,0.85574,0.9093,0.62041,1.07415,0.67616,1.20788,0.000947999,0.000947999,0.000947999
70,353.707,0.92936,0.58302,1.09534,0.86605,0.88188,0.91068,0.61593,1.07518,0.67708,1.19993,0.000940925,0.000940925,0.000940925
71,358.731,0.93639,0.59719,1.09096,0.86278,0.86897,0.91648,0.62799,1.0746,0.68755,1.21158,0.000933851,0.000933851,0.000933851
72,363.762,0.93979,0.58972,1.10242,0.83438,0.90188,0.91631,0.62791,1.09207,0.66397,1.22918,0.000926778,0.000926778,0.000926778
73,368.843,0.91417,0.5815,1.09541,0.85902,0.86673,0.90686,0.63194,1.07453,0.6801,1.21032,0.000919704,0.000919704,0.000919704
74,373.871,0.91228,0.58299,1.08974,0.87548,0.87264,0.91195,0.61518,1.14292,0.70402,1.25926,0.000912631,0.000912631,0.000912631
75,378.904,0.91562,0.58711,1.09832,0.86005,0.89722,0.91925,0.63364,1.06411,0.65092,1.20044,0.000905557,0.000905557,0.000905557
76,383.98,0.89645,0.56125,1.07489,0.87213,0.85873,0.90569,0.64405,1.0499,0.66875,1.18723,0.000898484,0.000898484,0.000898484
77,389.13,0.91025,0.56646,1.08655,0.83461,0.90547,0.91503,0.6437,1.08209,0.64816,1.2165,0.00089141,0.00089141,0.00089141
78,394.145,0.9052,0.57613,1.08911,0.83879,0.8982,0.91155,0.64019,1.08683,0.66887,1.21461,0.000884337,0.000884337,0.000884337
79,399.183,0.89883,0.56004,1.08051,0.84173,0.89767,0.91165,0.62962,1.07394,0.69967,1.2088,0.000877263,0.000877263,0.000877263
80,404.224,0.89288,0.54429,1.07727,0.86711,0.87283,0.9122,0.63088,1.08848,0.68856,1.2185,0.00087019,0.00087019,0.00087019
81,409.226,0.89384,0.5501,1.08197,0.83398,0.89903,0.90438,0.62437,1.07342,0.72261,1.21476,0.000863116,0.000863116,0.000863116
82,414.273,0.87683,0.54321,1.06888,0.86305,0.8567,0.91359,0.6226,1.08847,0.70044,1.22519,0.000856042,0.000856042,0.000856042
83,419.35,0.88766,0.54575,1.06821,0.85096,0.88498,0.90989,0.61502,1.08353,0.68168,1.21439,0.000848969,0.000848969,0.000848969
84,424.38,0.86458,0.53361,1.06266,0.8791,0.8484,0.90823,0.62231,1.09016,0.66819,1.219,0.000841895,0.000841895,0.000841895
85,429.386,0.85097,0.52855,1.0538,0.8712,0.8485,0.91346,0.62695,1.10306,0.75283,1.22727,0.000834822,0.000834822,0.000834822
86,434.441,0.86169,0.53368,1.05924,0.90307,0.83186,0.92021,0.63547,1.08881,0.70375,1.22209,0.000827748,0.000827748,0.000827748
87,439.483,0.86342,0.53128,1.06546,0.89171,0.83702,0.91425,0.62864,1.09853,0.71098,1.23056,0.000820675,0.000820675,0.000820675
88,444.5,0.874,0.52929,1.06671,0.86475,0.85374,0.89834,0.6057,1.14863,0.71557,1.26332,0.000813601,0.000813601,0.000813601
89,449.628,0.86379,0.52069,1.04896,0.84733,0.88842,0.90269,0.62364,1.09174,0.67795,1.22888,0.000806528,0.000806528,0.000806528
90,454.835,0.8674,0.53555,1.06609,0.87882,0.86848,0.91664,0.62784,1.07732,0.69035,1.21626,0.000799454,0.000799454,0.000799454
91,459.928,0.85603,0.52622,1.06519,0.84505,0.89145,0.90391,0.63265,1.08331,0.73635,1.22276,0.00079238,0.00079238,0.00079238
92,465.012,0.85703,0.52878,1.05226,0.83492,0.88286,0.90574,0.62408,1.09999,0.71709,1.23071,0.000785307,0.000785307,0.000785307
93,470.086,0.84938,0.51176,1.05543,0.87193,0.85138,0.90856,0.62282,1.08803,0.70367,1.22842,0.000778233,0.000778233,0.000778233
94,475.148,0.85982,0.53164,1.06951,0.87023,0.87248,0.91501,0.61548,1.12256,0.70089,1.24036,0.00077116,0.00077116,0.00077116
95,480.19,0.85401,0.50861,1.05448,0.84517,0.88477,0.90083,0.61027,1.09294,0.74691,1.23104,0.000764086,0.000764086,0.000764086
96,485.389,0.85162,0.50669,1.06174,0.87771,0.83485,0.8998,0.61067,1.10252,0.73596,1.23363,0.000757013,0.000757013,0.000757013
97,490.422,0.8501,0.50949,1.05656,0.86494,0.8652,0.91339,0.62368,1.09432,0.70014,1.22807,0.000749939,0.000749939,0.000749939
98,495.467,0.84311,0.50369,1.04103,0.86035,0.86922,0.91139,0.62401,1.10239,0.70543,1.23665,0.000742866,0.000742866,0.000742866
99,500.331,0.8449,0.50652,1.04205,0.89764,0.82274,0.90972,0.62133,1.10648,0.78373,1.25071,0.000735792,0.000735792,0.000735792
100,505.446,0.82882,0.49957,1.04595,0.85109,0.87559,0.91095,0.62856,1.09615,0.72314,1.24317,0.000728719,0.000728719,0.000728719
101,510.687,0.8354,0.49755,1.05328,0.88348,0.82704,0.89774,0.6089,1.11992,0.81939,1.24917,0.000721645,0.000721645,0.000721645
102,515.808,0.81164,0.48705,1.02493,0.84919,0.89228,0.90796,0.61128,1.13868,0.74733,1.25975,0.000714571,0.000714571,0.000714571
103,521.074,0.83044,0.50463,1.04058,0.8709,0.86402,0.91499,0.62018,1.11885,0.72994,1.24593,0.000707498,0.000707498,0.000707498
104,526.401,0.79816,0.48965,1.02,0.86147,0.86251,0.90894,0.62303,1.10176,0.73999,1.2455,0.000700424,0.000700424,0.000700424
105,531.622,0.80923,0.48506,1.0389,0.85762,0.87975,0.9109,0.62187,1.09933,0.71523,1.23677,0.000693351,0.000693351,0.000693351
106,536.87,0.80455,0.48685,1.02833,0.86426,0.85539,0.90073,0.61145,1.11273,0.77389,1.2453,0.000686277,0.000686277,0.000686277
107,542.113,0.81153,0.49719,1.04418,0.84247,0.87924,0.90065,0.61022,1.14584,0.71385,1.27814,0.000679204,0.000679204,0.000679204
108,547.34,0.80513,0.48213,1.03487,0.86882,0.86005,0.9123,0.62482,1.10705,0.7365,1.24442,0.00067213,0.00067213,0.00067213
109,552.581,0.81,0.49688,1.02249,0.88001,0.86312,0.923,0.63253,1.09775,0.75936,1.24002,0.000665057,0.000665057,0.000665057
110,557.819,0.81744,0.50021,1.05475,0.90303,0.85222,0.91519,0.62539,1.11107,0.74884,1.24579,0.000657983,0.000657983,0.000657983
111,563.102,0.78832,0.47018,1.02038,0.86307,0.88913,0.90834,0.61691,1.09593,0.75465,1.24632,0.000650909,0.000650909,0.000650909
112,568.364,0.79965,0.4774,1.03106,0.86109,0.87851,0.91626,0.62847,1.14986,0.75804,1.27068,0.000643836,0.000643836,0.000643836
113,573.671,0.79502,0.47751,1.04215,0.86094,0.87672,0.90601,0.62581,1.0958,0.74646,1.24021,0.000636762,0.000636762,0.000636762
114,578.92,0.78565,0.46135,1.02479,0.87521,0.86869,0.91316,0.61963,1.096,0.70892,1.24159,0.000629689,0.000629689,0.000629689
115,584.213,0.78886,0.4689,1.01606,0.86176,0.86143,0.90819,0.62412,1.10156,0.73119,1.24061,0.000622615,0.000622615,0.000622615
116,589.46,0.76312,0.45346,1.01146,0.88073,0.85159,0.90546,0.61093,1.11446,0.7784,1.25258,0.000615542,0.000615542,0.000615542
117,594.715,0.78425,0.46344,1.02897,0.85906,0.87772,0.90223,0.60771,1.1472,0.77474,1.28456,0.000608468,0.000608468,0.000608468
118,600.011,0.77222,0.45628,1.01658,0.85795,0.85607,0.90244,0.60516,1.13563,0.81277,1.28168,0.000601395,0.000601395,0.000601395
119,605.276,0.77078,0.4617,1.01693,0.84573,0.85872,0.89595,0.60733,1.15039,0.77583,1.28535,0.000594321,0.000594321,0.000594321
120,610.553,0.77168,0.45488,1.02637,0.83129,0.88294,0.89283,0.62019,1.1304,0.72512,1.27046,0.000587248,0.000587248,0.000587248
121,615.796,0.77963,0.46911,1.038,0.84615,0.88863,0.89327,0.61759,1.11149,0.74985,1.26352,0.000580174,0.000580174,0.000580174
122,621.072,0.78129,0.45742,1.02049,0.84939,0.86269,0.90244,0.61951,1.16733,0.83336,1.29012,0.0005731,0.0005731,0.0005731
123,626.326,0.76905,0.44888,1.01476,0.87945,0.85382,0.90412,0.62504,1.1023,0.71369,1.26472,0.000566027,0.000566027,0.000566027
